﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Secció;Població;Cens;Participació 14:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;14;;997;360;530;701;296;3;1;697;698
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;3;;1354;532;752;962;392;2;3;957;960
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;4;;1333;503;686;948;385;6;0;942;942
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;5;;1073;374;543;673;400;1;3;669;672
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;6;;960;388;563;725;235;3;4;718;722
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;7;;1028;422;610;761;267;1;6;754;760
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;8;;537;197;293;374;163;2;3;369;372
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;9;;1440;549;822;1064;376;2;4;1058;1062
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;1;;1526;457;741;928;598;0;2;926;928
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;10;;940;318;446;537;403;1;0;536;536
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;11;;1121;407;560;713;408;0;4;709;713
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;12;;1080;357;515;642;438;1;4;637;641
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;13;;912;341;469;617;295;4;6;607;613
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;14;;1959;689;1068;1417;542;4;8;1405;1413
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;15;;1054;419;543;720;334;0;9;711;720
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;16;;1485;536;798;1055;430;1;13;1041;1054
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;2;;1223;460;663;824;399;1;5;818;823
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;3;;1180;448;633;809;371;3;6;800;806
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;4;;1820;670;1069;1242;578;7;8;1227;1235
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;5;;1481;513;766;991;490;2;5;984;989
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;6;;1898;604;917;1178;720;4;5;1169;1174
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;7;;1133;453;676;842;291;5;5;832;837
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;8;;1146;402;605;742;404;3;8;731;739
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;9;;714;268;480;484;230;0;3;481;484
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;1;;1789;720;986;1301;488;2;3;1296;1299
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;2;;650;307;401;496;154;2;11;483;494
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;3;;2290;926;1336;1678;612;6;9;1663;1672
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;4;;1287;507;747;884;403;0;11;873;884
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;5;;1505;545;798;1011;494;1;3;1007;1010
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;6;;976;398;569;718;258;1;1;716;717
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;7;;811;322;468;610;201;2;8;600;608
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;1;;1055;382;546;709;346;3;6;700;706
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;2;;1339;496;711;913;426;5;5;903;908
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;3;;882;235;427;540;342;3;2;535;537
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;4;;969;272;431;520;449;1;2;517;519
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;5;;1115;341;487;605;510;4;1;600;601
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;6;;819;236;367;454;365;0;5;449;454
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;1;;1247;429;609;758;489;1;2;755;757
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;10;;599;182;256;329;270;2;0;327;327
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;11;;1542;573;765;953;589;1;3;949;952
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;13;;1232;399;532;646;586;4;0;642;642
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;14;;1203;373;622;688;515;5;3;680;683
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;15;;562;155;229;280;282;2;0;278;278
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;17;;1730;475;697;851;879;4;0;847;847
